id,name,description
1,Electronics,Devices and gadgets
2,Books,Printed and digital books
3,Laptops,Portable computers
4,Headphones,Audio devices
5,Sportswear,Clothing and shoes for sports
6,Kitchen Appliances,Home kitchen products
7,Furniture,Home and office furniture
8,Mobile Accessories,Accessories for mobile phones
9,Toys,Children's toys and games
10,Health & Beauty,Personal care products
11,Smart Home,Home automation devices
12,Outdoor Gear,Camping and hiking equipment
13,Pet Supplies,Products for pets
14,Automotive,Car and vehicle accessories
15,Office Supplies,Stationery and office equipment
16,Video Games,Games and consoles
17,Art Supplies,Materials for artists
18,Gardening,Tools and plants for gardening
19,Musical Instruments,Instruments and accessories
20,Cameras,Photography equipment
21,Jewelry,Personal adornments
22,Travel Accessories,Luggage and travel gear
23,Baby Products,Infant care items
24,Home Decor,Decorations for home interiors
25,Fitness Equipment,Exercise machines and gear
26,Grocery,Daily food and essentials
27,DIY Tools,Do it yourself home repair tools
28,Bookshelves,Bookshelf furniture
29,Sunglasses,Protective eyewear
30,Cycling Gear,Bicycles and accessories
31,Smartphones,Mobile phones
32,Computers,Desktops and peripherals
33,Watches,Wrist and smart watches
34,Shoes,All types of footwear
35,Clothing,Men and women apparel
36,Furnishing,Bedding and soft furnishings
37,Stationery,Writing and office supplies
38,Kitchenware,Cooks utensils and appliances
39,Bathroom Supplies,Sanitary and bath products
40,Lighting,Home and outdoor lighting
41,Tools & Hardware,Building and repair tools
42,Books - Fiction,Fictional literature
43,Books - Non-Fiction,Non-fictional literature
44,Collectibles,Memorabilia and collectibles
45,Pet Food,Food for pets
46,Smart Watches,Wearable technology
47,Camera Accessories,Lenses and cases
48,Video Equipment,TVs and monitors
49,Baby Toys,Toys for babies and toddlers
50,Sports Equipment,Gear for various sports
